amenity,lat,lon,name
toilets,-1.3153208999999997,36.7874005,
toilets,-1.3153555,36.7849046,
toilets,-1.3154138999999998,36.7877938,
toilets,-1.3154185,36.783585499999994,
toilets,-1.3154290999999998,36.78725599999999,
toilets,-1.3154393000000002,36.7850785,
toilets,-1.3154421,36.7838525,
toilets,-1.3155247,36.7861842,
toilets,-1.3155766999999998,36.7873601,
toilets,-1.3157470999999998,36.783912599999994,
toilets,-1.3157918999999998,36.7848665,
toilets,-1.3157999,36.7842965,
toilets,-1.3158875,36.78333849999999,
toilets,-1.3159326,36.783916,
toilets,-1.3159361,36.783426799999994,
toilets,-1.3160527999999998,36.784859,
toilets,-1.3161186,36.7835732,
toilets,-1.3135487999999997,36.783239099999996,
toilets,-1.3135546,36.7831313,
toilets,-1.3135603999999999,36.783335799999996,
toilets,-1.3136075,36.783769899999996,
toilets,-1.3136108,36.7837773,
toilets,-1.3136468,36.7837052,
toilets,-1.3136739999999998,36.78399279999999,
toilets,-1.3138013999999996,36.7845314,
toilets,-1.3138234,36.784799,
toilets,-1.3138611999999998,36.7832605,
toilets,-1.3139689999999997,36.7849272,
toilets,-1.3140027999999997,36.78511710000001,
toilets,-1.3141363,36.78301499999999,
toilets,-1.3141369,36.7841959,
toilets,-1.3141491,36.7846545,
toilets,-1.3142445,36.78551399999999,
toilets,-1.314262,36.7849142,
toilets,-1.3142925999999997,36.78396539999999,
toilets,-1.3143487999999999,36.7860645,
toilets,-1.3143790999999998,36.7861373,
toilets,-1.3143882,36.7842912,
toilets,-1.3143929999999997,36.7833377,
toilets,-1.3144258999999998,36.7854259,
toilets,-1.3144721,36.7837627,
toilets,-1.3144758,36.7857234,
toilets,-1.3145345,36.7865401,
toilets,-1.3145221,36.7845135,
toilets,-1.3145280999999998,36.7837199,
toilets,-1.3145477999999997,36.78484949999999,
toilets,-1.3145669,36.7845234,
toilets,-1.3145700999999999,36.78428009999999,
toilets,-1.3146162,36.7856889,
toilets,-1.3146445,36.786624,
toilets,-1.3146943000000002,36.7857341,
toilets,-1.3146722999999998,36.7847391,
toilets,-1.3147153999999999,36.7848151,
toilets,-1.314736,36.7863103,
toilets,-1.3147979,36.7871345,
toilets,-1.3147938,36.78725,
toilets,-1.314836,36.7872064,
toilets,-1.3147972,36.7871976,
toilets,-1.3148663999999999,36.7877119,
toilets,-1.3148751,36.787738,
toilets,-1.3148521,36.7868669,
toilets,-1.3149277,36.7876813,
toilets,-1.3168172,36.79407859999999,
toilets,-1.3108441,36.789452399999995,
toilets,-1.3092282999999998,36.7879683,
toilets,-1.3092432999999999,36.788644999999995,
toilets,-1.308535,36.78660669999999,
toilets,-1.3107728,36.78977220000001,
toilets,-1.3080983,36.7859017,Weka mazingira Sadie toilet
toilets,-1.3085733,36.78615,
toilets,-1.3091532999999997,36.78918829999999,
toilets,-1.30915,36.7887,
toilets,-1.3083749999999998,36.7889483,
toilets,-1.3091667,36.7863767,
toilets,-1.3088749999999998,36.7889983,Riverback
toilets,-1.3087499999999999,36.7892233,
toilets,-1.311307,36.788282599999995,
toilets,-1.3090882999999998,36.7891783,
toilets,-1.3083217999999999,36.7888064,
toilets,-1.3098116999999998,36.7883017,
toilets,-1.3091817,36.78758,
toilets,-1.3102767,36.7873067,
toilets,-1.3101833,36.7880917,
toilets,-1.3107049999999998,36.78788999999999,
toilets,-1.3120749999999999,36.7884733,
toilets,-1.3112167,36.788195,
toilets,-1.311495,36.7873983,
toilets,-1.3113567,36.7867083,
toilets,-1.3117964,36.7882757,
toilets,-1.3120083,36.78636329999999,
toilets,-1.3125316999999999,36.7886167,
toilets,-1.3124917,36.7872617,Riziki kenya
toilets,-1.3125917,36.788735,
toilets,-1.3132917000000002,36.7877383,
toilets,-1.311495,36.7875917,
toilets,-1.3119,36.7877483,
toilets,-1.313457,36.785189,
toilets,-1.3123317000000003,36.7901,
toilets,-1.3131156,36.7852871,
toilets,-1.3129332999999999,36.7844267,
toilets,-1.3132162,36.78492,
toilets,-1.3135150000000002,36.78757,
toilets,-1.3136023,36.7888045,
toilets,-1.3139582999999997,36.787445,
toilets,-1.3130649999999997,36.78490829999999,
toilets,-1.3134832999999997,36.7857883,
toilets,-1.3136167,36.788835,
toilets,-1.3134382999999998,36.78735,
toilets,-1.3139549999999998,36.78745,
toilets,-1.3134476,36.7864083,
toilets,-1.3135583,36.786738,
toilets,-1.3135382999999998,36.7877133,
toilets,-1.3138667,36.78774669999999,
toilets,-1.3144516999999998,36.786935,
toilets,-1.3140849999999997,36.7849333,
toilets,-1.3137782999999998,36.78648999999999,
toilets,-1.3142,36.78593669999999,
toilets,-1.3145207000000003,36.785684399999994,
toilets,-1.31456,36.7865983,
toilets,-1.314035,36.788255,
toilets,-1.3143032999999997,36.785945,
toilets,-1.3148149999999998,36.7858583,
toilets,-1.3140733,36.7875283,
toilets,-1.3147990999999999,36.786896999999996,
toilets,-1.31437,36.78595,
toilets,-1.3140882999999999,36.7865617,
toilets,-1.3147223,36.7871575,
toilets,-1.3144259999999999,36.7868841,
toilets,-1.3143499999999997,36.786346699999996,
toilets,-1.3141998,36.78560629999999,
toilets,-1.3140533,36.785516699999995,
toilets,-1.3151867,36.7866033,
toilets,-1.3144133,36.785985,
toilets,-1.3137132999999999,36.7847,
toilets,-1.3142589,36.78548299999999,
toilets,-1.3142223999999998,36.7854554,
toilets,-1.3142177,36.785473999999994,
toilets,-1.314018,36.7847415,
toilets,-1.312633,36.7920676,
toilets,-1.315265,36.7935833,
toilets,-1.3119967,36.7936983,
toilets,-1.312405,36.7938117,
toilets,-1.3147332999999999,36.79298000000001,
toilets,-1.3118867,36.79371669999999,
toilets,-1.3119717,36.79368,
toilets,-1.3126067,36.7932867,
toilets,-1.3149547999999998,36.791740399999995,
toilets,-1.311975,36.79375,
toilets,-1.3123250000000002,36.7938167,
toilets,-1.3133767,36.791715,
toilets,-1.313455,36.79506169999999,
toilets,-1.3133266999999997,36.796744999999994,
toilets,-1.3163667,36.796171699999995,
toilets,-1.3129782999999997,36.7946633,
toilets,-1.312685,36.792985,
toilets,-1.3135682999999998,36.794349999999994,
toilets,-1.3134199999999998,36.7950383,
toilets,-1.3146186,36.7955579,
toilets,-1.3134382999999998,36.7944917,
toilets,-1.3134717000000002,36.79517499999999,
toilets,-1.3130967,36.7941417,
toilets,-1.3132883,36.7947867,
toilets,-1.3136567,36.79683669999999,
toilets,-1.3139899999999998,36.7964733,
toilets,-1.314025,36.7968933,
toilets,-1.3138483,36.795915,
toilets,-1.3157017,36.79651499999999,
toilets,-1.3151132999999997,36.7968683,
toilets,-1.31472,36.7956867,
toilets,-1.3173650000000001,36.796718299999995,
toilets,-1.3181967000000003,36.7953,
toilets,-1.3156899999999998,36.79265169999999,
toilets,-1.3110583999999998,36.7874693,
toilets,-1.3120466999999998,36.7892367,
toilets,-1.317265,36.79479169999999,
toilets,-1.3169466999999997,36.7951617,
toilets,-1.3172917,36.79611169999999,
toilets,-1.3181232999999999,36.79425669999999,
toilets,-1.3151684,36.793637399999994,
toilets,-1.3144349999999998,36.7852217,
toilets,-1.3115716999999998,36.78661000000001,
toilets,-1.3150699999999997,36.7922317,
toilets,-1.311045,36.7873233,
toilets,-1.312055,36.7892783,
toilets,-1.315735,36.79186829999999,
toilets,-1.3118716999999998,36.78876499999999,
toilets,-1.31195,36.7887767,
toilets,-1.3158026,36.78647049999999,
toilets,-1.3158712,36.78643769999999,
toilets,-1.3143884,36.7855591,
toilets,-1.3156526,36.7858367,
toilets,-1.3120675,36.7893175,
toilets,-1.3143808999999997,36.78536739999999,
toilets,-1.3143543,36.7852224,
toilets,-1.314625,36.7839017,
toilets,-1.3175083,36.78312,
toilets,-1.3095589,36.78503539999999,Juveen youth group
toilets,-1.3095839999999999,36.785304599999996,Nys toilet number 13
toilets,-1.3109425999999997,36.7858344,Nys toilet number 15
toilets,-1.3099087,36.7854304,Shofco Makina clinic
toilets,-1.3091075,36.786175,Pit latrine
toilets,-1.3102618,36.78718959999999,National youth service
toilets,-1.3159417,36.7835583,
toilets,-1.3146332999999997,36.7833667,
toilets,-1.316455,36.78366329999999,
toilets,-1.3146917,36.783179999999994,School Toilets
toilets,-1.3159367,36.7833417,
toilets,-1.3158967,36.7832783,
toilets,-1.3155799999999997,36.78355669999999,Muvi Bio Center
toilets,-1.3155217,36.783495,NYS Toilet Number 113
toilets,-1.3150967,36.78474,School Toilet
toilets,-1.3137016999999998,36.78368999999999,NYS Toilet
toilets,-1.3135199999999998,36.7840483,
toilets,-1.313575,36.7838167,
toilets,-1.3130999999999997,36.7842133,
toilets,-1.312815,36.785026699999996,
toilets,-1.3142932999999999,36.7838983,
toilets,-1.3145217,36.7840483,Plot Toilet
toilets,-1.3141333,36.7846383,Tosha Bio Center
toilets,-1.3136567,36.7843233,
toilets,-1.314095,36.7846,
toilets,-1.3130382999999999,36.7848233,
toilets,-1.3130916999999998,36.7853183,
toilets,-1.3126583,36.785365,
toilets,-1.3131333,36.784929999999996,NYS Toilet Number 106
toilets,-1.3126816999999997,36.785765,NYS Toilet Number 29
toilets,-1.3134416999999998,36.7848617,
toilets,-1.3131299999999997,36.7857367,
toilets,-1.3133817,36.785188299999994,
toilets,-1.3134717000000002,36.7850983,NYS Toilet Number 33
toilets,-1.31395,36.7851,
toilets,-1.3137067,36.78508999999999,
toilets,-1.3083708999999997,36.78467909999999,Al maids self help group
toilets,-1.31438,36.7853667,Pit latrine
toilets,-1.3139633,36.7853083,Plot Toilet
toilets,-1.3139666999999997,36.7854,
toilets,-1.314575,36.7856717,NYS Toilet Number 111
toilets,-1.314555,36.785626699999995,
toilets,-1.3144333,36.785405,
toilets,-1.3147049999999998,36.7852433,
toilets,-1.3133832999999997,36.785826699999994,
toilets,-1.3142499999999997,36.7856317,
toilets,-1.3139766999999998,36.7857067,
toilets,-1.31348,36.785795,NYS Toilet
toilets,-1.314175,36.7855083,
toilets,-1.3139366999999997,36.7857983,
toilets,-1.31432,36.7856733,
toilets,-1.3143832999999998,36.78569,
toilets,-1.3132832999999997,36.786611699999995,Pit Latrine
toilets,-1.3144083,36.7856867,Pit Latrine
toilets,-1.3141183,36.78601329999999,NYS Toilet Number 32
toilets,-1.3137132999999999,36.7864517,
toilets,-1.3135399999999997,36.786688299999994,NYS Toilet Number 103
toilets,-1.3134016999999998,36.78763669999999,
toilets,-1.3111178,36.7872835,Plot toilet
toilets,-1.3136683,36.78636169999999,
toilets,-1.3138849999999997,36.786505,
toilets,-1.3109089999999999,36.7873897,Gogo boys toilet and bathroom
toilets,-1.313465,36.78741999999999,
toilets,-1.3133067,36.787274999999994,
toilets,-1.3106150000000003,36.78788,Youth reform self help group public toilet
toilets,-1.3104202,36.78781159999999,
toilets,-1.3136967,36.787535,
toilets,-1.313715,36.7870117,
toilets,-1.3097863999999997,36.7881069,Good neighborhood toilet
toilets,-1.3143367,36.787081699999995,
toilets,-1.31472,36.7862467,
toilets,-1.3138217,36.78723,
toilets,-1.3137167000000003,36.787575,
toilets,-1.313945,36.78738499999999,
toilets,-1.3139917,36.7876067,
toilets,-1.3140182999999999,36.7876767,
toilets,-1.3096867,36.789495,Riverside
toilets,-1.3140149999999997,36.7877483,
toilets,-1.3144266999999998,36.786803299999995,
toilets,-1.3092288999999997,36.7882053,Plot 10
toilets,-1.3140482999999998,36.7876833,Pit Latrine
toilets,-1.3146633,36.78714,
toilets,-1.3145283,36.786816699999996,NYS Toilet Number 31
toilets,-1.3092266,36.7886862,Plot Toilet
toilets,-1.3091911,36.7892972,Plot Toilet
toilets,-1.30912,36.7885296,Community Toilet
toilets,-1.3092323999999997,36.7883446,River outcast
toilets,-1.3089107,36.78892890000001,
toilets,-1.3147866999999998,36.7865,
toilets,-1.3147783,36.7867183,
toilets,-1.3091458,36.788847999999994,Community Toilet
toilets,-1.3146999999999998,36.78671,
toilets,-1.3090121,36.7893518,Nys toilet number 132
toilets,-1.3084884,36.7879355,NYS toilet number 16
toilets,-1.3082448999999998,36.7887163,Nys toilet number20
toilets,-1.3080443,36.7883879,Plot toilet
toilets,-1.3086612999999998,36.7865002,Kambikuku self help group
toilets,-1.3081233999999997,36.7886203,River side
toilets,-1.3086022999999998,36.7862447,Nys toilet number 101
toilets,-1.3084682999999997,36.78600339999999,Ablution block 9
toilets,-1.3148099999999998,36.7870267,
toilets,-1.3152167,36.786256699999996,
toilets,-1.3159182999999999,36.786604999999994,
toilets,-1.3147817,36.78713,
toilets,-1.3155283000000002,36.7862067,
toilets,-1.3159949999999998,36.7869017,
toilets,-1.3105232,36.79035519999999,Ablution Block
toilets,-1.3105325,36.7904142,
toilets,-1.3110726,36.7902973,
toilets,-1.3112306,36.7902535,
toilets,-1.3113573999999997,36.790795,Ablution Block
toilets,-1.3123669,36.7914725,Hanging Toilet
toilets,-1.3117659000000002,36.792596599999996,NYS Toilet
toilets,-1.3116633,36.7922346,
toilets,-1.3115508,36.7920936,Pit latrine
toilets,-1.3099423999999997,36.7917192,Pit Latrine
toilets,-1.3106453999999998,36.7922991,NYS Toilet
toilets,-1.3107538999999997,36.7924524,NYS Toilet
toilets,-1.3109219,36.79245879999999,Pit Latrine
toilets,-1.3112616,36.7924408,
toilets,-1.3111817999999997,36.7929235,Pit latrine
toilets,-1.3113787,36.792838,Pit latrine
toilets,-1.3111178,36.7930366,Frepals NYS Toilet
toilets,-1.3111517,36.793096399999996,Frepals Latrine
toilets,-1.3124518999999997,36.7924403,
toilets,-1.3126859,36.792497999999995,
toilets,-1.3126594,36.7928032,Mashimoni Ushirika Wausafi
toilets,-1.3127614,36.79280680000001,
toilets,-1.3128677999999998,36.79307649999999,Pit Latrine
toilets,-1.3126704999999999,36.7931388,Pit Latrine
toilets,-1.3114695999999997,36.7969771,English Style Toilet
toilets,-1.3123069999999997,36.7969407,
toilets,-1.3131377999999998,36.796364,Al- Jamaa Group
toilets,-1.3132959,36.7965086,NYS Toilet
toilets,-1.3154966,36.79636000000001,
toilets,-1.3148299999999997,36.79649249999999,
toilets,-1.3149861999999999,36.7964789,Ablution Block
toilets,-1.3138690999999998,36.7956858,
toilets,-1.3133622,36.795285799999995,
toilets,-1.3114533,36.79358,KICEP Pit Latrin
toilets,-1.3108516999999997,36.79321670000001,
toilets,-1.3134099999999997,36.7940933,Trench Toilet
toilets,-1.3133383,36.794008299999994,Pit Latrine
toilets,-1.3136433,36.7942433,Slum Care
